price,date,title,hood,details_link,lon,lat
$0,Feb  1,You can SELL it FAST and For CASH NOW!!!, (Oakville  ),https://stlouis.craigslist.org/reo/d/saint-louis-you-can-sell-it-fast-and/7440618901.html,38.456600,-90.328200
"$13,000",Feb  1,For Sale By Owner, (Fenton  ),https://stlouis.craigslist.org/reo/d/fenton-for-sale-by-owner/7435368524.html,38.501500,-90.468300
"$45,000",Feb  1,Investor Special! 2 bed 2 bath," (St. Louis, MO  )",https://stlouis.craigslist.org/reo/d/saint-louis-investor-special-bed-bath/7440398348.html,38.713900,-90.237500
"$120,000",Feb  1,Turnkey Rental Condo in Clayton Available," (Clayton, MO  )",https://stlouis.craigslist.org/reo/d/saint-louis-turnkey-rental-condo-in/7436231376.html,38.638251,-90.326015
$0,Feb  1,__Could a Career in Real Estate Sales be in Your Future?, (  ),https://stlouis.craigslist.org/reb/d/saint-louis-could-career-in-real-estate/7440474876.html,38.629500,-90.334200
"$4,500",Feb  1,Wooded lot at Raintree, (Hillsboro  ),https://stlouis.craigslist.org/reo/d/hillsboro-wooded-lot-at-raintree/7437242912.html,38.258600,-90.578200
"$315,000",Feb  1,LAKE OF THE OZARKS..GREAT LOCATION-BIG NIANGUA 3541160, (CAMDENTON  ),https://stlouis.craigslist.org/reb/d/camdenton-lake-of-the-ozarksgreat/7440515787.html,38.018500,-92.767700
"$172,000",Feb  1,LAKE OF THE OZARKS..CONDO AT EAGLE BAY.3540595, (OSAGE BEACH  ),https://stlouis.craigslist.org/reb/d/osage-beach-lake-of-the-ozarkscondo-at/7438695134.html,38.138000,-92.666400
"$725,000",Feb  1,LAKE OF THE OZARKS. 2 HOMES AND A MOBILE HOME PARK. 3540632, (VERSAILLES  ),https://stlouis.craigslist.org/reb/d/versailles-lake-of-the-ozarks-homes-and/7438033082.html,38.436500,-92.825800
"$3,250,000",Feb  1,LAKE OF THE OZARKS..PRIME LOCATION!3540454, (LAKE OZARK  ),https://stlouis.craigslist.org/reb/d/kaiser-lake-of-the-ozarksprime-location/7432937933.html,38.185324,-92.599952
"$225,000",Feb  1,LAKE OF THE OZARKS..CUTE AS A BUTTON CABIN! 3541106, (SUNRISE BEACH  ),https://stlouis.craigslist.org/reb/d/sunrise-beach-lake-of-the-ozarkscute-as/7434060952.html,38.155800,-92.785400
$0,Feb  1,SUNSET HILLS, (  ),https://stlouis.craigslist.org/reb/d/saint-louis-sunset-hills/7440540341.html,38.535500,-90.407000
$0,Feb  1,"Updated baths, Entertainment area, Fenced Backyard", (Ballwin  ),https://stlouis.craigslist.org/reb/d/ballwin-updated-baths-entertainment/7440525639.html,38.577000,-90.525500
$0,Feb  1,THE POWER OF THE FORCE YOU WILL HAVE...says Yoda, (Imperial  ),https://stlouis.craigslist.org/reb/d/liguori-the-power-of-the-force-you-will/7434162697.html,38.338400,-90.414200
$0,Feb  1,Mehlville / Oakville, (  ),https://stlouis.craigslist.org/reb/d/saint-louis-mehlville-oakville/7440569839.html,38.456600,-90.328200
$0,Feb  1,22 acres  3/10 of mile from  Interstate 55, (OAK RIDGE  ),https://stlouis.craigslist.org/reo/d/oak-ridge-22-acres-10-of-mile-from/7428496154.html,37.535022,-89.717875
"$99,000",Jan 29,"Commercial Lots in Troy, Il", (Troy  ),https://stlouis.craigslist.org/reo/d/troy-commercial-lots-in-troy-il/7433233904.html,38.728391,-89.901876
"$12,000",Jan 29,River lot, (Elsberry  ),https://stlouis.craigslist.org/reo/d/hamburg-river-lot/7439195555.html,39.224792,-90.733509
"$103,000",Jan 29,Come Live The Urban Way Downtown St Louis TODAY!!!, (Downtown St Louis  ),https://stlouis.craigslist.org/reb/d/saint-louis-come-live-the-urban-way/7427015826.html,38.632360,-90.200629
$0,Jan 29,Homes and Condos  - Open houses For this Weekend, (  ),https://stlouis.craigslist.org/reb/d/saint-louis-homes-and-condos-open/7439327297.html,38.629500,-90.334200
"$299,000",Jan 29,NEW TOWN * 3337 SHUTTEN * OPEN HOUSE 1/30TH, (NEW TOWN  ),https://stlouis.craigslist.org/reb/d/saint-charles-new-town-shutten-open/7439348125.html,38.836097,-90.492496
$0,Jan 29,13 acres +/ -," (high ridge,mo.  )",https://stlouis.craigslist.org/reo/d/13-acres/7434674815.html,38.401359,-90.513815
$0,Jan 29,"BUILDING LOT  44,900", (CONCORD VILlAGE  ),https://stlouis.craigslist.org/reo/d/building-lot-44900/7434675195.html,38.535138,-90.348966
"$44,000",Jan 29,Turn Key 🔐 Rental In St. Louis MO For DIRT CHEAP, (Saint Louis  ),https://stlouis.craigslist.org/reo/d/saint-louis-turn-key-rental-in-st-louis/7439432641.html,38.686000,-90.241000
$0,Jan 30,Multi-Family Units For Sale, (Greater St Louis Area  ),https://stlouis.craigslist.org/reb/d/saint-louis-multi-family-units-for-sale/7439462307.html,38.656500,-90.454200
$0,Jan 30,"Labadie, Union, Washington", (  ),https://stlouis.craigslist.org/reb/d/washington-labadie-union-washington/7439462383.html,38.545900,-91.019300
